epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5315496921539307,0.0010000000474974513,0.8711926937103271,0.5313044190406799,0.7347356081008911
1,0.5347368717193604,0.0010000000474974513,0.7099784016609192,0.5294459462165833,0.7001732587814331
2,0.5362573266029358,0.0010000000474974513,0.6936241388320923,0.5304913520812988,0.69352126121521
3,0.5366374254226685,0.0010000000474974513,0.6900938749313354,0.5285166501998901,0.693020761013031
4,0.5376023650169373,0.0010000000474974513,0.689252495765686,0.527703583240509,0.6936231255531311
5,0.5412573218345642,0.0010000000474974513,0.6882203817367554,0.527703583240509,0.6929500102996826
6,0.5413157939910889,0.0010000000474974513,0.6878243684768677,0.5268904566764832,0.6943349242210388
7,0.5408186912536621,0.0010000000474974513,0.68743896484375,0.5274712443351746,0.6952341198921204
8,0.542865514755249,0.0010000000474974513,0.6869778633117676,0.527703583240509,0.6962065100669861
0,0.5211111307144165,0.0010000000474974513,0.9003115892410278,0.5318852066993713,0.7473569512367249
1,0.5323976874351501,0.0010000000474974513,0.7148351669311523,0.5336275696754456,0.7005590200424194
2,0.53163743019104,0.0010000000474974513,0.6945325136184692,0.5329306721687317,0.692478358745575
3,0.5326608419418335,0.0010000000474974513,0.6905114054679871,0.5317690968513489,0.6904187798500061
4,0.5335965156555176,0.0010000000474974513,0.6893949508666992,0.5335114598274231,0.6900522112846375
5,0.5357894897460938,0.0010000000474974513,0.6891675591468811,0.5320013761520386,0.6897413730621338
6,0.5381871461868286,0.0010000000474974513,0.6882849335670471,0.5336275696754456,0.689494252204895
7,0.538918137550354,0.0010000000474974513,0.687871515750885,0.5330467820167542,0.6889257431030273
8,0.5406725406646729,0.0010000000474974513,0.6874629855155945,0.5346730351448059,0.6889948844909668
9,0.5420467853546143,0.0010000000474974513,0.6870654821395874,0.53385990858078,0.688720703125
10,0.5418128371238708,0.0010000000474974513,0.6868118047714233,0.534208357334137,0.6888566017150879
11,0.5428070425987244,0.0010000000474974513,0.6863892078399658,0.5375769734382629,0.6885465383529663
12,0.5442690253257751,0.0010000000474974513,0.6860607862472534,0.5372284650802612,0.6885270476341248
13,0.5459941625595093,0.0010000000474974513,0.6856232285499573,0.5360668897628784,0.6887897849082947
14,0.5465496778488159,0.0010000000474974513,0.6853389739990234,0.535486102104187,0.6890119910240173
15,0.5479824542999268,0.0010000000474974513,0.6851302981376648,0.5357184410095215,0.6892978549003601
16,0.5486842393875122,0.0010000000474974513,0.6848439574241638,0.5343245267868042,0.6896005868911743
17,0.5491520762443542,0.0010000000474974513,0.6845527291297913,0.5360668897628784,0.6901321411132812
18,0.5486842393875122,0.0010000000474974513,0.6844203472137451,0.5382738709449768,0.6903753876686096
19,0.5481286644935608,0.0010000000474974513,0.6841912269592285,0.5380415916442871,0.691010594367981
20,0.5499415397644043,0.0010000000474974513,0.6839848160743713,0.5361830592155457,0.6910937428474426
21,0.5492690205574036,0.0010000000474974513,0.6838963627815247,0.5358346104621887,0.6913031935691833
22,0.5509941577911377,0.0010000000474974513,0.6836845874786377,0.5375769734382629,0.6920087337493896
23,0.5519298315048218,0.0010000000474974513,0.6836085915565491,0.5352538228034973,0.692365288734436
24,0.5528070330619812,0.0010000000474974513,0.6832889318466187,0.5330467820167542,0.6933485269546509
25,0.5526023507118225,0.0010000000474974513,0.6832612156867981,0.5329306721687317,0.6938612461090088
26,0.5518128871917725,0.0010000000474974513,0.6828427314758301,0.5317690968513489,0.69435715675354
27,0.5542397499084473,0.0010000000474974513,0.6827118992805481,0.5326983332633972,0.694191575050354
28,0.5540643334388733,0.0010000000474974513,0.6825970411300659,0.5299105644226074,0.6947066187858582
29,0.5533040761947632,0.0010000000474974513,0.6824978590011597,0.5313044190406799,0.6951747536659241
30,0.553947389125824,0.0010000000474974513,0.6823161244392395,0.5345568656921387,0.6954542994499207
31,0.5543274879455566,0.0010000000474974513,0.6822475790977478,0.5343245267868042,0.6957990527153015
32,0.5549415349960327,0.0010000000474974513,0.6821051836013794,0.5329306721687317,0.6956932544708252
33,0.5548537969589233,0.0010000000474974513,0.6819356083869934,0.5318852066993713,0.6962437033653259
34,0.5548830628395081,0.0010000000474974513,0.681909441947937,0.5349053144454956,0.6959971189498901
35,0.5549415349960327,0.0010000000474974513,0.6818634867668152,0.5346730351448059,0.695785403251648
36,0.5552046895027161,0.0010000000474974513,0.6816720366477966,0.5333952903747559,0.6958869695663452
37,0.5556140542030334,0.0010000000474974513,0.6815119981765747,0.5357184410095215,0.6957910060882568
38,0.5557309985160828,0.0010000000474974513,0.6814373135566711,0.5362992286682129,0.6960551738739014
39,0.5557894706726074,0.0010000000474974513,0.681254506111145,0.5368800163269043,0.6965436935424805
40,0.5559356808662415,0.0010000000474974513,0.6812253594398499,0.5339760780334473,0.6966406106948853
41,0.5564912557601929,0.0010000000474974513,0.6810974478721619,0.5339760780334473,0.6972929835319519
42,0.5575438737869263,0.0010000000474974513,0.6810153126716614,0.5364153981208801,0.698236346244812
43,0.5576315522193909,0.0010000000474974513,0.6808938980102539,0.5360668897628784,0.6975487470626831
44,0.5579824447631836,0.0010000000474974513,0.6808773875236511,0.5373446345329285,0.6986075043678284
45,0.5568713545799255,0.0010000000474974513,0.6806709170341492,0.5376930832862854,0.6984673142433167
46,0.5574854016304016,0.0010000000474974513,0.680647075176239,0.5379254221916199,0.6992446780204773
47,0.5591228008270264,0.0010000000474974513,0.68046635389328,0.5359507203102112,0.6994374394416809
48,0.5577192902565002,0.0010000000474974513,0.6803957223892212,0.537112295627594,0.6988019943237305
49,0.5585964918136597,0.0010000000474974513,0.6804112195968628,0.537112295627594,0.6992936134338379
50,0.5586257576942444,0.0010000000474974513,0.6802361011505127,0.5376930832862854,0.6994961500167847
51,0.5599415302276611,0.0010000000474974513,0.6802177429199219,0.5367638468742371,0.6999902129173279
52,0.5593274831771851,0.0010000000474974513,0.6800444722175598,0.5346730351448059,0.7009693384170532
53,0.5594152212142944,0.0010000000474974513,0.679930567741394,0.5358346104621887,0.7000554203987122
54,0.5590935945510864,0.0010000000474974513,0.6799977421760559,0.5374608039855957,0.7006586790084839
